GeneID	Symbol	Name	Disease	Phenotype	Function
11047	ADRM1	.	0	0	1
158	ADSL	.	0	0	1
159	ADSS	.	0	0	1
122622	ADSSL1	.	0	0	1
165	AEBP1	.	0	0	1
84632	AFAP1L2	.	0	0	1
2334	AFF2	.	0	0	1
3899	AFF3	.	0	0	1
27125	AFF4	.	0	1	1
54812	AFTPH	.	0	0	1
175	AGA	.	0	0	1
116987	AGAP1	.	0	0	1
119016	AGAP4	.	0	0	1
123624	AGBL1	.	0	0	1
79841	AGBL2	.	0	0	1
177	AGER	.	1	0	1
3267	AGFG1	.	0	0	1
55109	AGGF1	.	0	0	1
55750	AGK	.	0	0	1
178	AGL	.	0	0	1
79814	AGMAT	.	0	0	1
27161	AGO2	.	1	0	1
192670	AGO4	.	0	0	1
56894	AGPAT3	.	0	0	1
56895	AGPAT4	.	0	0	1
79992	AGPAT4-IT1	.	0	0	1
8540	AGPS	.	0	0	1
155465	AGR3	.	0	0	1
181	AGRP	.	1	0	1
183	AGT	.	1	0	1
23287	AGTPBP1	.	0	0	1
185	AGTR1	.	1	0	1
186	AGTR2	.	1	0	1
57085	AGTRAP	.	0	0	1
189	AGXT	.	0	0	1
25909	AHCTF1	.	0	0	1
191	AHCY	.	0	0	1
10768	AHCYL1	.	0	0	1
54806	AHI1	.	0	1	1
79026	AHNAK	.	0	0	1
196	AHR	.	0	1	1
57491	AHRR	.	0	0	1
130872	AHSA2P	.	0	0	1
197	AHSG	.	1	0	1
64853	AIDA	.	0	0	1
83543	AIF1L	.	0	0	1
9131	AIFM1	.	0	0	1
84883	AIFM2	.	0	0	1
51390	AIG1	.	0	0	1
202	AIM1	.	0	0	1
7965	AIMP2	.	0	1	1
9049	AIP	.	0	1	1
84962	AJUBA	.	0	0	1
203	AK1	.	0	0	1
50808	AK3	.	0	0	1
205	AK4	.	0	0	1
26289	AK5	.	0	0	1
122481	AK7	.	0	0	1
158067	AK8	.	0	0	1
8165	AKAP1	.	0	0	1
11216	AKAP10	.	0	0	1
11215	AKAP11	.	0	0	1
11214	AKAP13	.	0	0	1
11217	AKAP2	.	0	0	1
9472	AKAP6	.	0	0	1
9465	AKAP7	.	0	0	1
26993	AKAP8L	.	0	0	1
10142	AKAP9	.	0	0	1
56672	AKIP1	.	0	0	1
79647	AKIRIN1	.	0	0	1
80709	AKNA	.	0	0	1
10327	AKR1A1	.	0	0	1
231	AKR1B1	.	1	0	1
1645	AKR1C1	.	1	0	1
1646	AKR1C2	.	1	0	1
8644	AKR1C3	.	1	0	1
8574	AKR7A2	.	0	0	1
207	AKT1	.	1	1	1
208	AKT2	.	1	1	1
10000	AKT3	.	0	0	1
64400	AKTIP	.	0	0	1
210	ALAD	.	0	0	1
213	ALB	.	1	0	1
214	ALCAM	.	0	0	1
126133	ALDH16A1	.	0	0	1
5832	ALDH18A1	.	0	0	1
216	ALDH1A1	.	0	0	1
8854	ALDH1A2	.	0	0	1
220	ALDH1A3	.	1	0	1
219	ALDH1B1	.	0	0	1
10840	ALDH1L1	.	0	0	1
160428	ALDH1L2	.	0	0	1
217	ALDH2	.	0	0	1
224	ALDH3A2	.	0	0	1
222	ALDH3B2	.	0	0	1
4329	ALDH6A1	.	0	0	1
501	ALDH7A1	.	0	0	1
64577	ALDH8A1	.	0	0	1
223	ALDH9A1	.	0	0	1
226	ALDOA	.	0	0	1
230	ALDOC	.	0	0	1
144245	ALG10B	.	0	0	1
440138	ALG11	.	0	0	1
79868	ALG13	.	0	0	1
199857	ALG14	.	0	0	1
200810	ALG1L	.	0	0	1
29929	ALG6	.	0	1	1
79053	ALG8	.	0	0	1
79796	ALG9	.	0	0	1
285016	ALKAL2	.	0	0	1
8846	ALKBH1	.	0	0	1
54890	ALKBH5	.	0	0	1
84266	ALKBH7	.	0	0	1
91801	ALKBH8	.	0	0	1
7840	ALMS1	.	1	1	1
246	ALOX15	.	0	0	1
240	ALOX5	.	0	0	1
241	ALOX5AP	.	0	0	1
80216	ALPK1	.	0	0	1
115701	ALPK2	.	0	0	1
249	ALPL	.	0	0	1
